"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"V1",4.02558485477132,0,0,0,0,0,0,0.77103986882139,-0.524341968703084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82105944957584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.679649485973641,-0.59390336740762,0,0,0.960217877174728,-0.615271729184315,0,0
"V2",0,4.02558485477132,0,0,0,0.893943312810734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.983460219926201,0,0,0,0,0,0.68327963212505,0,0,0,0,0,0,-0.628104051225819,0,0,0
"V3",0,0,4.02558485477132,0,0,0,0,0,0,-0.61822736565955,0.508402530685998,0,0,0,0,-0.578051083371975,0,0,0,0,0,0,0,0,0,0,0,-0.593825833522715,0,0,0,0,0,0,-0.73160953738261,-0.660561136086471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",0,0,0,4.02558485477132,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.804246402811259,0,0,0,0,0,0,0,0,0,0,-0.816828356357291,0,0,0,0,0,0,0,0,0,0,0,-0.752033694298007,0,0.711534613743424,0,0,0,0,0,0.916727593285032,0
"V5",0,0,0,0,4.02558485477132,0,0.512506868224591,0,0,0,0,0,0,0,0,0,-0.513789546559565,0,0,0,-0.941301534883678,0,0,0,0,0,-0.90226356475614,0,0,0,0,0,0,0.94545816781465,0,-0.579308983171359,-0.939030537148938,0,0,0,0,0,0,0,0,0,0,0,0,0
"V6",0,0.893943312810734,0,0,0,4.02558485477132,0,0,0,0,0,0,0,0,0,0,0,0,-0.725505567039363,0,0,0,-0.81551820517052,0,0,0,0,-0.561622271430679,0,0,0,0,0,-0.801339689525776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V7",0,0,0,0,0.512506868224591,0,4.02558485477132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.766632888931781,0,0,0,0,-0.845210387953557,0,0,-0.835662755183876,0,0,0,0,0,0,0,-0.586071261321194,0,0,0.625011542579159,0,0,0,0,0,0,0,-0.826782399555668
"V8",0.77103986882139,0,0,0,0,0,0,4.02558485477132,0,0,0,0,0,0,0.618355992482975,0,0,0,0,0,0,-0.635068521136418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V9",-0.524341968703084,0,0,0,0,0,0,0,4.02558485477132,0,0,0,0,0,0,0,0,0,0,0,0.894617237849161,0,0,0,-0.969522504485212,0,0,0,0,0,0,0,0,-0.749971025856212,-0.504156281240284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V10",0,0,-0.61822736565955,0,0,0,0,0,0,4.02558485477132,0,0,0,0,0,0.793628367595375,0.852335750241764,0,0,0,0,-0.547991194296628,0,0,0,0,0,-0.672055654111318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V11",0,0,0.508402530685998,0,0,0,0,0,0,0,4.02558485477132,0,0,0,0,0,0,0,0,0,0,0,-0.665007493691519,0,0,0,0,-0.907765983138233,0.882182944216765,0,0,0,0,0,-0.633752825669944,0,0,0,0,0,0,0,0,-0.72803288733121,0,0,0,-0.947298986720853,0.535266324877739,0
"V12",0,0,0,0,0,0,0,0,0,0,0,4.02558485477132,0,0,0,0,0,0,0,0,0,-0.631431923131458,0,0.998500834451988,0,0,0,0,0,0,-0.989407346001826,0,0.980103187146597,-0.55254813504871,0,-0.715825439081527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V13",0,0,0,0,0,0,0,0,0,0,0,0,4.02558485477132,0,0,0,0.595836910302751,0,0,0,0,0,0,0,0.899781591491774,0,0,0,-0.746482912218198,0,0.864013637299649,0,0.988084209966473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V14",0,0,0,0,0,0,0,0,0,0,0,0,0,4.02558485477132,0,0,0,0,0,0,0,0.587515328894369,0.96707114262972,0,0,0,0,0,0,0,0,0,0.727887331857346,0,-0.571357276290655,-0.662508239969611,0,0,0,0,0,0,0,0,0,0,0,0,-0.55872840504162,0.927518285810947
"V15",0,0,0,0,0,0,0,0.618355992482975,0,0,0,0,0,0,4.02558485477132,0,0,0,0,0,0,0,-0.341335054370575,0,0,0,0,0,0,0,-0.531104988534935,0,0,0,0,-0.881456092232838,0,0.98829168220982,0,-0.846566530992277,0,0,0,0.874860942480154,0,0,0,0,0,0
"V16",0,0,-0.578051083371975,0,0,0,0,0,0,0.793628367595375,0,0,0,0,0,4.02558485477132,0,0,0,0.73684299911838,0.608633927535266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.895951731130481,0,0,0,0,0,0,0,0,0,0
"V17",0,0,0,0,-0.513789546559565,0,0,0,0,0.852335750241764,0,0,0.595836910302751,0,0,0,4.02558485477132,0,0,0,0,0,0,0,0.557116043753922,0,0,0,0,0,0,0.567760100821033,0,0,0,0,0,0,0,0,0,-0.754988573258743,0,0,0,0,0,0,0,0
"V18",0,0,0,-0.804246402811259,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02558485477132,0,0,0,0,0,0,0,0,0,0,0,-0.601803019060753,0.973188317846507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V19",0,0,0,0,0,-0.725505567039363,0,0,0,0,0,0,0,0,0,0,0,0,4.02558485477132,0,0,0,0,0,-0.864688034635037,0.809683628729545,0,0,0,0,0,0,0,0,0,-0.693712486536242,0,0,0,0,0,0,0,0,0,0,0,-0.981538772117347,0,0
