"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"C1",0.566638756046628,1.04421437895764,-0.475708994680746,-0.281089034283648,0.252254051663654,-1.54410771087555,-1.27615147134526,-0.315578743261367,-0.30681983739515,-0.00781298611517025,-0.273122988049059,0.5328899322593,-0.220350592386633,-0.104539187544868,-0.549462393671996,0.00101660366525651,0.342358330882224,-0.724577926903799,0.463013149489781,0.42242160788158,1.1059251400822,-0.344090746425219,-0.606959126850108,0.367937525959982,-0.618978917952428,0.378490621208818,-0.374289285786856,-0.398848365027406,0.160002180152476,0.42167358104521,0.411209947944149,-0.715827448935167,-0.457369713787932,0.666114108612492,-0.0715932064489496,0.504506292958096,0.251441562443476,0.886330855889611,-0.982062311578965,-1.35353127548005,-0.212280810492283,0.254428102086788,1.07876197132941,0.648433008799105,-0.437974936911597,0.309022689648745,-0.447865620868517,0.635964061548813,1.31811087753047,0.0630427311841159
"C2",0.283687316563685,-0.0787959182526122,0.780711264607778,0.374771917211155,-0.260405178258681,0.271848583584036,-0.740198364038942,0.205318713090141,1.98286962765524,-0.41311317209347,-0.77409366815274,0.0242884374735352,-0.120989892137936,0.606624075425285,-0.140357017221761,0.559005628299477,-0.170732119855748,-0.146556198550334,0.326529065486893,-0.325006400137557,-0.597087234665578,-0.761963232127456,-2.1296664298341,2.22675705366651,0.340436233877537,0.233393349105092,-0.196616422432353,1.27846202208938,2.80241964724229,0.694078769765147,0.447696091623079,0.589773657296383,-0.0107599352139394,2.7065792417298,0.0919624829453923,1.12798172411834,-0.00680847117890776,-0.165589792607346,-0.582201926982485,-0.30573631185508,-0.227139347039725,-1.50217872568487,0.0565460857762196,0.057209983303448,-0.083765510122324,0.862791047676993,-1.07626421248167,0.175669358564806,1.4484291792756,-1.50792341572722
"C3",0.36786735795431,0.499994570668777,0.196238690010198,1.32314756426654,-0.455140795233387,0.886812510449228,0.232617238410127,0.107015854215172,0.147266556837079,-0.185046528090146,-0.371337002404141,-0.443908672120773,-0.144233357162382,0.384107278149536,0.393864242344037,0.579506921038284,-0.419926028828488,1.35704228179755,0.483842454381352,-0.22444892002187,-0.185460932954388,-1.1932897655187,-1.47267459367909,1.12262072899746,0.429964229798702,0.366262754367864,-1.03328148298027,1.5647798744745,1.90884637608855,0.802384905995129,-0.172365891138668,0.166150568493066,1.03104870995911,0.728052287342397,1.20497096530155,0.793061644755533,0.703971874807317,0.303693667846009,-0.392862098708369,0.730749634453045,0.701585792285513,0.426219306262926,0.594489934131868,0.0013168690239054,0.338128480699331,0.176153756546855,-0.443215366516001,-0.323657029895629,0.579800167968128,-0.444785346377945
"C4",-0.582467899258815,-0.694924361842624,-0.962866704296589,0.998157212469641,-0.163310522084566,0.0127988585764925,1.41481399055672,0.360213465814291,-1.10867843802067,0.276764672738758,-0.207016162950202,0.475839823054369,0.118322300899347,0.983750543179746,0.157965871628684,0.542601119735906,0.0750750582032294,0.995454484864641,-0.0639822687912624,0.127114025344402,0.778439298707766,-0.721788679904353,-0.523873498199836,0.141539692384299,-1.35753003957376,-0.151325034881121,-0.531601929587416,-0.144108890937168,1.10213680969723,1.00815078633979,0.797818742621125,-0.471641281417554,-0.644710635446178,0.529131413606131,-0.512213058473974,-0.180041033915706,0.424695412079187,-0.882818230213561,-0.289824189218991,-0.851416117887303,0.0444493008472661,-0.470872304677549,-0.0863301035731221,1.00435704613085,0.190923409626821,-0.358647385107525,-0.27714867582258,0.441363368531661,0.417869774749177,1.02179727545396
"C5",1.45992897799694,-0.0487593801809041,-0.854636522186854,-0.259292947401635,0.523838974242851,-0.665911011440937,-0.954427365728038,-0.75093399565203,0.00673267918026545,-0.303217385146412,-0.266806681718598,-0.474081534141772,-0.740054167744812,-0.00365716307678546,-0.0345017269781645,-0.151854845248139,-0.296355833573392,-0.499587478237236,-0.0613019181673603,0.568530512499772,-0.0696794834020212,-1.15795212878369,-0.537467317997864,0.136514749694615,0.292151308110437,-0.256842970112163,-0.428123527282685,-0.434823549520909,0.0545796272604918,-0.0992200205926577,-0.0411007813428173,-0.137667411235561,0.217759072694288,-0.32112759409388,0.0398861723399999,-0.195825182055846,-0.399547648720333,-0.213170282988599,0.24581937378663,-0.0656471707246108,-0.617246216815542,-0.663925436249288,0.244610166528661,0.685795338683723,0.373500919475057,0.723188323339686,-0.234747186510837,0.33787280977862,-0.093341692006826,-0.484769462951478
"C6",0.617501471181135,-0.296282008067947,0.302839916876816,-0.498395195163503,-0.247521494678497,0.953979843244586,0.19337590931288,-0.599172885647858,0.72730147031107,0.449946390107084,0.146574056077654,-0.563778509036805,-0.375820947496783,-0.227474706879274,0.473151692922449,0.633745447310188,0.549299356225002,0.571668655376302,-0.588888234570713,-0.740406197799066,0.828873107722688,-0.387454616020957,0.110377847992767,-0.26200208623094,-0.87727221298114,0.10077798077502,-0.106824958917455,0.515838011315122,0.29495720505816,-0.719363375050005,-0.480940230426332,0.0273102005998606,1.53840180966965,0.808372028249548,0.445007721124074,-0.580994816908418,0.704195449706575,-0.594594259501037,0.0749532361028767,-0.742758401464942,-0.298366680278534,-0.0279773183291021,0.799968553624687,-0.721932949536894,0.180440311629158,-0.419487424813862,0.321428826073293,-0.220454312256673,-0.947517271596694,-0.00144507683343961
"C7",1.123536224549,-1.38795121879305,1.63545726102087,-0.45521875482806,0.381531917501208,-1.14242317632463,0.500005014315513,0.133744823027494,-0.0409916846707291,0.229224730810638,0.107376995422107,-0.821584637052903,-0.704945983515422,-0.0229930334436345,0.235606627912177,-0.612082097858997,-1.38265136186414,-0.0989906949892623,0.553547726256567,0.749827485449529,-1.16205213316328,0.292696232041379,-0.374457862789533,-0.286707214597382,0.663518210621418,-0.268915667976838,-0.197086233952448,-0.115139634965306,-1.52778197482442,0.336532840380192,0.0826340994733417,-0.331803350971052,0.636248581094176,-1.69159811108236,0.277078794120428,1.56806856980919,-0.760374865385103,-0.323844516696886,1.1992535522914,2.01637269830028,-0.291451650092653,0.870238284044121,-0.735443899612458,0.0140862402578143,-0.507852877547589,-0.145032322487803,-0.96237921457597,1.04372702082744,-0.140527744616735,-0.400031979063857
"C8",0.951944411320405,-0.950827562526215,-2.17640769567818,0.23573228906256,-0.81118121643441,0.050970143647327,-0.548407912676641,0.281762224378891,-1.37729317895605,-0.666743742483782,-0.101329976788165,0.53653668439255,1.69577658406992,-0.917346381119077,-0.279196177197092,-0.428063320170297,-1.23266032390363,0.307527654920013,-0.452658922089418,0.551042774155148,-0.689763984776479,0.129531664373037,0.459533310708777,-0.566880964959333,-0.972376000212079,0.339570049130192,0.76350796423546,-0.781333299062552,0.125151733552556,-1.09187669250664,-0.179483581744786,0.228862627419363,-1.1050686911569,-1.06221940644148,-0.649269195624775,-1.87116976568697,0.687350358700601,-1.15783841965867,1.30075712634525,0.908440848576147,0.379072820518898,-1.04440561700065,0.044131219115259,-0.96491946522052,0.301952199995036,-1.36172837972554,-0.079778736286986,0.468133447469515,0.536021219063483,0.422163736675477
"C9",-0.873979240382812,0.503519542800442,-0.194808967259854,-0.43908519020258,-0.832560676012176,-0.486976855936162,-0.100585792787621,-0.0743782247674118,0.107239812578403,0.23265397375901,0.0179336826317243,0.135095390035604,-0.765062003864246,0.178727449424116,0.415759257450034,-0.960857502207174,0.470447605762894,-0.523248961416682,-0.0262410740138053,0.0506036992673541,-1.28599421718482,0.014854626323135,-0.711842123407767,1.50010141267729,0.0128905990698122,0.099289899367251,0.153536385183909,-0.405711894786447,1.67645481244781,-0.397204239172478,1.48339787999929,0.393919611705928,0.686663981110939,1.38633619143869,-0.250749621052397,-0.0899969574341113,0.140537729454283,0.27683663400625,-0.765638851906925,0.10198831184742,-0.0617532776002667,0.517435414838261,0.413287024503152,0.755912689293744,-0.605210184608425,1.00335730848853,0.076573704104406,0.696680597870906,-0.781414016272354,-0.247758693512171
"C10",-0.330649071973451,-0.685048798287352,0.562985142319971,-1.03046005179647,0.257659329925048,-0.734670267961139,0.322473725902922,0.633107662144591,0.209441701415706,0.396192655714976,1.07881080748,-0.23665872861116,-0.987727839484034,-0.832629969693211,0.32508761430862,-0.101730678647232,-1.15267631494079,-0.425648707759532,-0.236035712482901,-0.299971013877382,0.45776927549849,0.897358130035831,0.887196731169112,-2.36888339914762,1.17945995664679,-0.09543385919172,0.0908698716658624,-0.461386826137175,-3.57409747095902,-0.606447758548303,1.35188044124283,-0.397977439891633,0.298552722211833,-2.73709639867549,-0.236173482663858,-0.707643130894032,-0.660803578680763,-0.502707476208189,1.18121288595272,0.659914528837888,-0.80121329225389,-0.471253838655227,1.02313986353475,-1.21021697129898,0.139643955872327,-0.665828254671105,1.32000464561423,0.33732779021707,-1.24352081973085,0.128129108198332
