"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"V1",4.02558485477132,0,0,0,0,0,0,0.77103986882139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825625498197041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.59390336740762,0,0,0.960217877174728,-0.615271729184315,0,0
"V2",0,4.02558485477132,0,0,0,0.893943312810734,0,0,0,0,0,0,0,0,0,-0.649039750453085,0,0,0,0,0,0,0,0,0,0.515760061098263,0,0,0,-0.947155246860348,0,0,0,-0.983460219926201,0,0,0,0,0,0,0,0,0,0,0,0,-0.628104051225819,0,0,0
"V3",0,0,4.02558485477132,0,0,0,0,0,0,-0.61822736565955,0.508402530685998,0,0,0,0,0,0,0.706155978259631,0,0,0,0,0,0,0,0,0,-0.593825833522715,0,0,0,0,0,0,-0.73160953738261,-0.660561136086471,0,-0.994049430359155,0.669072281336412,0,-0.810449901851825,0,0,0,0,0,0,0,0,0
"V4",0,0,0,4.02558485477132,0,0,-0.805383127182722,0,0,0,0,0,0,0,0,0,0,-0.804246402811259,0,0,0,0,0,0,0,0,0,0,-0.816828356357291,0,0,0.668891485314816,0,0,0,0,0,0,0,0,-0.752033694298007,0,0.711534613743424,0,0,0,0,0,0,0
"V5",0,0,0,0,4.02558485477132,0,0.512506868224591,0,0,0,0,0,0,0,0,0,-0.513789546559565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87456797482446,0,-0.579308983171359,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V6",0,0.893943312810734,0,0,0,4.02558485477132,0,0,0,0,0,0,0,0,0,0,0,0,-0.725505567039363,0,0,0,0,0,0,0,0,-0.561622271430679,0,0,0,0,0,-0.801339689525776,0,-0.636454684194177,0,0,0,0,0,0.729561178362928,0,0,0.773794336128049,0,-0.671236103051342,0,0,0
"V7",0,0,0,-0.805383127182722,0.512506868224591,0,4.02558485477132,0,0,0,0,0,0,0,0,0,0,0,0.699355290271342,0,0,0,0,0,0,0,0,-0.845210387953557,0,0,-0.835662755183876,0,0,0,0,0,0,0,-0.586071261321194,0,0,0,0,0,0.797454335959628,0,0,0,0,-0.826782399555668
"V8",0.77103986882139,0,0,0,0,0,0,4.02558485477132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.547553557204083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.614863129798323,0,0,0,0,0,0
"V9",0,0,0,0,0,0,0,0,4.02558485477132,0,0,0,0,0,0,0,0,0,0,0,0.894617237849161,0,0,0,-0.969522504485212,0,0,0,0,0,0,0,0,-0.749971025856212,-0.504156281240284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V10",0,0,-0.61822736565955,0,0,0,0,0,0,4.02558485477132,0,0,-0.555036175646819,0,0,0,0,0,0,0,0,-0.547991194296628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V11",0,0,0.508402530685998,0,0,0,0,0,0,0,4.02558485477132,0,0,0,0.781311822240241,0,0,0,0,0,0,0,0,0,0,0,0,0,0.882182944216765,0,0,0,0,0,-0.633752825669944,0,0,0,0,0,0,0,0,0,0,0,0,-0.947298986720853,0,0
"V12",0,0,0,0,0,0,0,0,0,0,0,4.02558485477132,0,0,0,0,0,0,0,0,0,-0.631431923131458,0,0,0,0,0,0,0,0,0,0,0.980103187146597,0,-0.928914379212074,0,0,0,0,0,0,0,0,0,-0.775474635069259,0,0,0,0,0
"V13",0,0,0,0,0,0,0,0,0,-0.555036175646819,0,0,4.02558485477132,0,0,0,0.595836910302751,0,0,0,0,0,0,0,0.899781591491774,0,0,0,-0.746482912218198,0,0.864013637299649,0,0.988084209966473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V14",0,0,0,0,0,0,0,0,0,0,0,0,0,4.02558485477132,0,0,0,0,0,0,0,0.587515328894369,0.96707114262972,0,0,0,0.508186038350686,0,0,0,0,0,0.727887331857346,0,0,-0.662508239969611,0,0,0,0,0,0,0,0,0,0,0,0,-0.55872840504162,0.927518285810947
"V15",0,0,0,0,0,0,0,0,0,0,0.781311822240241,0,0,0,4.02558485477132,0,0.927887071040459,0,0,0,0,0,0.555212131817825,0,0,0,0,0,0,0,0,0,0,0,0,-0.881456092232838,0,0.98829168220982,0,-0.846566530992277,0,0,0,0,0,0,0.752787364879623,0,0,0
"V16",0,-0.649039750453085,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02558485477132,0,0,0,0.156279161572456,0.608633927535266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.895951731130481,0,0,0,0,0,0,0,0,0,0
"V17",0,0,0,0,-0.513789546559565,0,0,0,0,0,0,0,0.595836910302751,0,0.927887071040459,0,4.02558485477132,0,0,0,0,0,0,0,0.557116043753922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.754988573258743,0,0,0,0,0,0,0,0
"V18",0,0,0.706155978259631,-0.804246402811259,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02558485477132,0,0,0,0,-0.690304925199598,0,0,0,0,0,0,-0.601803019060753,0.973188317846507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957301573362201,0,0,0,0,0
"V19",0,0,0,0,0,-0.725505567039363,0.699355290271342,0,0,0,0,0,0,0,0,0,0,0,4.02558485477132,0,0,0,0,0,-0.278853104449809,0.809683628729545,0,0,0,0,0,0,0,0,0,-0.693712486536242,0,0,0,0,0,0,0,0,0,0,0,-0.981538772117347,0,0
