"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"V1",4.02558485477132,0,0,0,0,0,0,0.77103986882139,0,-0.556688643991947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.673793989350088,0,0.825625498197041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.59390336740762,0,0,0.960217877174728,-0.615271729184315,0,0
"V2",0,4.02558485477132,0,0,0,0.893943312810734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632781099760905,0,0,0,0,0,-0.687610358581878,0,0,-0.983460219926201,0,0,0,0,0,0,0,0,0,0,0,0,-0.628104051225819,0,0,0
"V3",0,0,4.02558485477132,0,0,0,0,0,0,-0.61822736565955,0.508402530685998,0,0,0,0,0,0,0,0,0,0,0,0,-0.943667680257931,0,0,0,-0.593825833522715,0,0,0.532427856349386,0,0,0,-0.03933147538919,-0.660561136086471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",0,0,0,4.02558485477132,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.804246402811259,0,0,0,0,0,0,0,0,0,0,-0.816828356357291,0,0,0,0.623925991589203,0,0,0,0,0,0,0,-0.752033694298007,0,0.711534613743424,0,0,0,0,0,0,0
"V5",0,0,0,0,4.02558485477132,0,0.512506868224591,0,0,0,0,0,0,0,0.732631371589378,0,-0.513789546559565,0,0,-0.557432804605924,0,0,0,0,-0.524248498841189,0,0,0,-0.85790379322134,0,0,0,0,0.94545816781465,0,-0.579308983171359,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V6",0,0.893943312810734,0,0,0,4.02558485477132,0,0,0,0,0,0,0,0,0,0,0,0,-0.725505567039363,0,0.819060723530129,0,0,0,0,0,0,-0.561622271430679,0.956135412096046,0,0,0,0,-0.801339689525776,0,0,0,-0.838960648165084,0,0,0,0,0,0,0,0,0,0,0,0
"V7",0,0,0,0,0.512506868224591,0,4.02558485477132,0,0.598147917771712,0,0,0,0,0,0,0,0,0,0,0,0.959185419022106,-0.512276069726795,0,0,0,0,0,-0.845210387953557,0,0,-0.835662755183876,0,0,0,0,0,0,0,-0.586071261321194,0,0,0,0,0,0,0,0,0,0,-0.826782399555668
"V8",0.77103986882139,0,0,0,0,0,0,4.02558485477132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801817872095853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V9",0,0,0,0,0,0,0.598147917771712,0,4.02558485477132,0,0,0,0,0,0,0,0,0,0,0,0.894617237849161,0,0,0,-0.969522504485212,0,0,0,0,0,0,0,0,-0.749971025856212,-0.504156281240284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V10",-0.556688643991947,0,-0.61822736565955,0,0,0,0,0,0,4.02558485477132,0,0,0,0,0,0,0,0,0,0,0,-0.547991194296628,0,0,0,0,0,0,0,0,0,-0.837566244998015,0,0.61303221329581,0,0,0,0,0,0,0,0,0,0,0,0,0,0.626278449431993,0,0
"V11",0,0,0.508402530685998,0,0,0,0,0,0,0,4.02558485477132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.882182944216765,0,0,0,0,0,-0.633752825669944,0,0,0,0,0,0,0,0,0,0,0,0,-0.947298986720853,0,0
"V12",0,0,0,0,0,0,0,0,0,0,0,4.02558485477132,0,0,0,0,0,0.746887462562881,0,0,0,-0.631431923131458,0,0.995837425580248,0,0,0.684363256208599,0,0,0,0,0,0.980103187146597,0,0,0,0,0,0,0,0,0,0,0,0,-0.839727790676989,0,0,0,0
"V13",0,0,0,0,0,0,0,0,0,0,0,0,4.02558485477132,0,0,0,0.595836910302751,0,0,0,0,0,0,0.753942644107156,0.899781591491774,0,0.967086381628178,0,-0.746482912218198,0,0.864013637299649,0,0.988084209966473,0,0,0,0,0,0,0,0,0,0,0,0,-0.809466082137078,0,0,0,0
"V14",0,0,0,0,0,0,0,0,0,0,0,0,0,4.02558485477132,0,0,0,0,0,0,0,0.587515328894369,0.96707114262972,0,0,0,0,0,0,0,0,0,0.727887331857346,-0.773660711478442,0,-0.662508239969611,0,0,0,-0.946222886443138,0,0,0,0,0,0,0,0,-0.55872840504162,0.927518285810947
"V15",0,0,0,0,0.732631371589378,0,0,0,0,0,0,0,0,0,4.02558485477132,0,0,0,0,0,0,0,0.555212131817825,0,0,0,0,0,0,0,0,0,0,0,0,-0.881456092232838,0,0.98829168220982,0,-0.846566530992277,0,0,0,0,0,0,0,0,0,0
"V16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02558485477132,0,0,0,0.73684299911838,0.608633927535266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.895951731130481,0,0,0,0,0,0,0,0,0,0
"V17",0,0,0,0,-0.513789546559565,0,0,0,0,0,0,0,0.595836910302751,0,0,0,4.02558485477132,0,0,0,0,0,0,0,0.557116043753922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109625246026553,0,0,0,0,0,0,0,0
"V18",0,0,0,-0.804246402811259,0,0,0,0,0,0,0,0.746887462562881,0,0,0,0,0,4.02558485477132,0,0,0,0,0,0,0,0,0,0,0,-0.601803019060753,0.973188317846507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V19",0,0,0,0,0,-0.725505567039363,0,0,0,0,0,0,0,0,0,0,0,0,4.02558485477132,0,0,0,0,0,-0.864688034635037,0.809683628729545,0,0,0,0,0,0,0,0,0,-0.693712486536242,0,0,0,0,0,0,0,0,0,0,0,-0.981538772117347,0,0
"V20",0,0,0,0,-0.557432804605924,0,0,0,0,0,0,0,0,0,0,0.73684299911838,0,0,0,4.02558485477132,0.747426276793703,0,0,0,0,0,0,0,0,0,0,0,-0.577534196781926,0,0,0,0,0,0,0,0,0,0,0,-0.771522119524889,0,0,0,0,0
